incident_id,date,lat,lon,city,state,address,injured,killed,child_involved,officer_involved,mass_shooting,accidental,domestic_violence,drive_by,link,year,month,total,fatal,mass,index_right,neighborhood
129940,2014-04-25,28.5734,-81.4064,Orlando,Florida,North Orange Blossom Trail,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/129940,2014,4,1,False,False,117.0,Princeton/Silver Star
130749,2014-04-29,28.49231547208421,-81.40879010890835,Orlando,Florida,4701 S Texas Ave,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/130749,2014,4,1,True,False,,
130992,2014-04-29,28.5642,-81.1987,Orlando,Florida,Cricket Club Circle,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/130992,2014,4,1,False,False,,
193462,2014-04-29,28.4874,-81.2998,Orlando,Florida,3505 Millrace Court,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/193462,2014,4,1,True,False,,
131687,2014-04-30,28.436440529417656,-81.40255898951025,Orlando,Florida,1851 W Landstreet Rd,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/131687,2014,4,1,True,False,,
196644,2014-04-30,28.43608247340933,-81.39271569223835,Orlando,Florida,West Landstreet Road,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/196644,2014,4,1,True,False,,
131681,2014-05-02,28.5149,-81.4083,Orlando,Florida,2301 29th St,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/131681,2014,5,1,False,False,11.0,Rio Grande Park
1558799,2014-05-06,28.4092,-81.4901,Orlando,Florida,8249 Buenavista Woods Blvd,0,1,False,False,False,False,True,False,https://www.gunviolencearchive.org/incident/1558799,2014,5,1,True,False,,
133539,2014-05-06,28.40924052941765,-81.49015898951025,Orlando,Florida,8249 Buenavista Woods Blvd,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/133539,2014,5,1,True,False,,
133151,2014-05-07,28.4894,-81.4051,Orlando,Florida,Lake Atriums Cir,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/133151,2014,5,1,False,False,,
133176,2014-05-07,28.3885,-81.4175,Orlando,Florida,12200 block of Uracus Street,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/133176,2014,5,1,False,False,,
133181,2014-05-07,28.6272,-81.4274,Orlando,Florida,Magnolia Homes Road,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/133181,2014,5,1,False,False,,
133184,2014-05-07,28.4908,-81.401,Orlando,Florida,Honour Rd and Rio Grande Ave,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/133184,2014,5,1,True,False,,
134621,2014-05-11,28.5787,-81.444,Orlando,Florida,2600 block of Bent Willow Drive,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/134621,2014,5,1,False,False,37.0,The Willows
135449,2014-05-13,28.536540529417657,-81.39215898951025,Orlando,Florida,Jernigan Avenue and West Anderson Street,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/135449,2014,5,1,False,False,66.0,Holden/Parramore
136200,2014-05-17,28.4802,-81.4367,Orlando,Florida,5056 Millenia Blvd,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/136200,2014,5,1,False,False,83.0,Millenia
136189,2014-05-18,28.478940529417656,-81.40505898951025,Orlando,Florida,Orange Blossom Trail,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/136189,2014,5,1,True,False,,
136451,2014-05-18,28.598,-81.451,Orlando,Florida,4529 N Pine Hills Rd,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/136451,2014,5,1,True,False,56.0,Signal Hill
136719,2014-05-19,28.5295,-81.3807,Orlando,Florida,Lucerne Terrace,0,1,False,False,False,False,False,True,https://www.gunviolencearchive.org/incident/136719,2014,5,1,True,False,60.0,South Orange
142695,2014-05-20,28.539240529417658,-81.43345898951026,Orlando,Florida,Ivey Lane,0,1,False,True,False,False,False,False,https://www.gunviolencearchive.org/incident/142695,2014,5,1,True,False,108.0,Malibu Groves
138061,2014-05-21,28.432640529417657,-81.24545898951025,Orlando,Florida,9700 block of Candice Court,1,0,False,True,False,False,False,False,https://www.gunviolencearchive.org/incident/138061,2014,5,1,False,False,30.0,LaVina
137863,2014-05-21,28.5353,-81.4366,Orlando,Florida,4449 Malabu St,0,1,False,True,False,False,False,False,https://www.gunviolencearchive.org/incident/137863,2014,5,1,True,False,,
139461,2014-05-22,28.4326,-81.2454,Orlando,Florida,Candice Ct,1,0,False,True,False,False,False,False,https://www.gunviolencearchive.org/incident/139461,2014,5,1,False,False,30.0,LaVina
209122,2014-05-24,28.5455,-81.4434,Orlando,Florida,4815 W Robinson St,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/209122,2014,5,1,False,False,,
139606,2014-05-25,28.5531,-81.43,Orlando,Florida,4135 W Colonial Dr,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/139606,2014,5,1,False,False,,
140485,2014-05-28,28.55918247340933,-81.42751569223836,Orlando,Florida,3944 Wd Judge Dr,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/140485,2014,5,1,False,False,85.0,Mercy Drive
140493,2014-05-29,28.5761,-81.4087,Orlando,Florida,1912 Ellman St,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/140493,2014,5,1,False,False,,
141943,2014-06-01,28.6074,-81.3938,Orlando,Florida,851 Lee Rd,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/141943,2014,6,1,True,False,,
143704,2014-06-05,28.473,-81.494,Orlando,Florida,Golden Glen Ct,2,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/143704,2014,6,2,False,False,,
